description,genres
"Meet Braxton Smith in this enemies-to-lovers romance.

Dating the hot athlete? Yeah, Been there, Done That…

Braxton Smith.

Cessna University's baseball captain.

Naturally talented.

Sinfully gorgeous.

And exudes enough arrogance to fill a stadium.

That same cocky attitude is what landed him in my anonymous gossip column. 

Believe me, I, Cara Gonzalez, don't want anything to do with him.

But he's everywhere.

In my class.

In my dorm.

In my mind.

I left this type of drama back home. 

Transferring to Cessna University is my chance for a redo.

And regardless of his rock-hard abs and panty-dropping smile,

Arguing with an athlete isn't one of my goals.

My instincts betray me, though.

This attraction feels different.

Stronger.

I have no choice but to stand my ground. 

Because this time, I'm afraid I'll not only be hurt. 

I'll end up gutted.

Book One in the Cessna U Wildcats series, Swinging Strike, is an enemy to lovers, standalone romance. If you like sexy, hot baseball players, download Braxton Smith today.","84, 10, 31, 29, 112, 31"
"I hate everything about MMA bad boy Jase Rawlins, but the biggest promotion of my life depends on me convincing the world he's reformed. 

After breaking up with my violent ex, I want nothing else to do with professional fighters. Unfortunately, my job as a publicist is on the line unless I can turn my ex's biggest rival into a media darling. 

Jase's infuriating attitude pushes all of my buttons, but the more I get to know him, the more I wonder if I've gotten him wrong. 

Our chemistry is blazing hot, but if we give in to the attraction, I could lose my job, and Jase could lose his freedom.","84, 31, 29, 112, 31"
David has known Jake Lourdes' name since he was fourteen years old.,"84, 31, 22, 146"
"Cocky, big-hearted men fight to win their women in this addictive and steamy sports romance series. 

Camile is tired of being overlooked because she's shy and plus-size. She's ready to reclaim her life, and she intends to start with a kiss from a legendary MMA playboy. Unfortunately, his grumpy teammate, Leo, has other plans. 

In FIGHTER'S FAKE OUT, female fighter Enya pretends to date her younger teammate, Jimmy, to get her matchmaking family off her back. Only, Jimmy wants her for real.

Tempe gets more than she bargains for in FIGHTER'S MERCY when a one-night stand with a tattooed stranger lands her with an unexpected pregnancy.

In FIGHTER'S FOREVER, Lucia escapes to a beachside cottage to write a book, only to discover that she has a roommate—her crush, MMA playboy Tony Romano.

Fans of Mariana Zapata and Katy Evans will love CROWN MMA ROMANCE: THE OUTSIDERS.

Scroll up and one click to purchase the complete series today!","84, 31, 29, 86, 112"
"Marty Gross, a veteran college basketball coach with 46 years of experience, shares his wealth of knowledge in ""A Systematic Approach to Teaching Post-Play."" This book offers a comprehensive guide to coaching post-players and includes specialized offenses, skill development chapters, and valuable case studies of player improvement. Gross's key message is that post-play isn't limited to traditional big men; even perimeter players can excel in this role. His coaching expertise has contributed to the success of numerous pro players, including those from Texas A&M Corpus Christi, Wichita State, Rice, Jacksonville, and Birmingham Southern College. Notably, Gross played a pivotal role in Wichita State's 2011 NIT Championship victory and helped develop NBA talents at Jacksonville, including Otis Smith, Ronnie Murphy, Dee Brown, and Tim Burroughs. His commitment to the game extends beyond coaching, as he has been active in Athletes in Action, Fellowship of Christian Athletes, and the Texas Association of Basketball Coaches. Join Marty Gross on his journey through the world of basketball coaching, where his passion and expertise have left an indelible mark on the sport.","84, 31"
"When the puck drops in the heated world of NHL, Alexandre slides effortlessly across the ice, but nothing could prepare him for the slippery slope of his own emotions. In a high-stakes game, where loyalty is paramount, he ventures beyond the rink's barriers, seeking help from an unexpected ally — the brilliant team statistician. As the tension of the playoffs rises, so does the chemistry between them, melting the ice that once divided their worlds. But as secrets unravel, Alexandre's intentions come under the spotlight. Is he playing for love, or is he just playing? Dive into ""Jagged Ice"" and let the thrilling blend of strategy, romance, and raw emotion grip you till the final buzzer.

Whether you're a hockey aficionado or a hopeless romantic, this tale promises chills, thrills, and heart-pounding moments that will keep you on the edge of your seat!","84, 31, 29, 112, 31"
"Book 2 of All for the Game; The Raven King follows The Foxhole Court

The Foxes are a fractured mess, but their latest disaster might be the miracle they've always needed to come together as a team. The one person standing in their way is Andrew, and the only one who can break through his personal barriers is Neil.

Except Andrew doesn't give up anything for free and Neil is terrible at trusting anyone but himself. The two don't have much time to come to terms with their situation before outside forces start tearing them apart. Riko is intent on destroying Neil's fragile new life, and the Foxes have just become collateral damage.

Neil's days are numbered, but he's learning the hard way to go down fighting for what he believes in, and Neil believes in Andrew even if Andrew won't believe in himself.","84, 31, 39, 22"
"Book 3 of the All for the Game Trilogy, following The Foxhole Court and The Raven King.

Neil Josten is out of time. He knew when he came to PSU he wouldn't survive the year, but with his death right around the corner he's got more reasons than ever to live.

Befriending the Foxes was inadvisable. Kissing one is unthinkable. Neil should know better than to get involved with anyone this close to the end, but Andrew's never been the easiest person to walk away from. If they both say it doesn't mean anything, maybe Neil won't regret losing it, but the one person Neil can't lie to is himself.

He's got promises to keep and a team to get to championships if he can just outrun Riko a little longer, but Riko's not the only monster in Neil's life. The truth might get them all killed—or be Neil's one shot at getting out of this alive.","84, 31, 39, 22"
"Grayson Moore linebacker for the New England Warriors.

His whole life has been working up to this moment, the moment when his team wins the Superbowl.
But life has a way of throwing you an illegal pass.

Diandra Evergrow was the love of his life, well, until she ended it.
Now she's walked back in, on the best night of his life with news that could destroy not only him but all those that are close to him.

Will Grayson put it all on the line for the woman that once claimed his heart?
Or will he tuck and run to protect it?

Book 2 from USA Today Best Selling Author Kathleen Kelly.","84, 31, 29, 112, 181, 31"
"Vivianne Johnson grew up in a small town with a normal life until her world is turned upside down by an assault that she experiences within her first few months in college. Her assailant, Orion McCray, comes from a wealthy and influential family, which ultimately causes unfortunate difficulties in Vivianne's case. Vivianne begins to come up against some of the worst mental health crises that she has ever experienced, and just when she thinks it can't get any worse, Orion is found dead on the campus. While many eyes begin to look to her as the culprit of the murder, her situation is shown to be not quite what it seems. In this psychological thriller, Elizabeth Roberts writes about underlying realistic themes in womanhood, while also exploring the human psyche when met with a psychotic break.","84, 38, 192, 36, 32, 183"
"In the quaint town of Sinful, a senior ladies' softball game sets off a chain of events that unravels a mystery where clues abound but hard evidence is nowhere to be found.

 Casey Lawrence, new to Sinful, is the subject of rampant rumors. Her husband's death in an automobile collision a year ago was ruled an accident, but Casey believes otherwise. She suspects a complex conspiracy and is determined to uncover the truth.

 Enter Fortune Redding, an ex-CIA operative turned small-town sleuth. Alongside her trusty companions, Ida Belle and Gertie, Fortune dives into a tangled web of deceit and danger. Their investigation leads them to an old nemesis, a man as slippery as a bayou eel, and deep into the dark side of New Orleans nightlife.

 Each uncovered clue raises the stakes. When an assassination attempt on Fortune is foiled by the timely appearance of an old friend, the team's resolve only strengthens as the investigation leads to an explosive pinnacle.

 ""Tangled Webs"" is a gripping tale of mystery, suspense, and the indomitable spirit of women who refuse to give up. Packed with humor, heart, and a healthy dose of Southern charm, this story will keep you on the edge of your seat from the first pitch to the final revelation.","84, 38, 192, 1, 32, 138"
"After a distinguished career in the police force, it wasn't as if DI Kate Redman was expecting maternity leave with newborn twins to be a breeze exactly. However….

When local woman Carrie Rawlins disappears without a trace, Kate's friend DCI Mark Olbeck pleads for her assistance. Despite being knee-deep in nappies and struggling with sleepless nights, Kate quickly realises that Carrie's troubled personal life might be the key to unlocking the mystery.

Carrie's husband, Russell, had been at the epicentre of a medical scandal that rocked a far-flung maternity unit. Rumours of negligence, cover-ups, and unethical practices had left a trail of shattered trust and broken lives in their wake. But is the couple's murky past really the reason behind Carrie's disappearance?

Undertow is the sixteenth novel in the USA Today bestselling series The Kate Redman Mysteries, by author Celina Grace.","84, 26, 165, 162, 32, 138, 159, 161"
"Supermarket shelf stacker Regina Steps has just been found strangled, stripped to her underwear, and her body forced into a gruesome position atop one of the cannons of Derry's historic city walls. For seasoned DI Liam McLaughlin and the ragtag officers of the Major Investigation Team, it's a murder they've never seen the likes of before.

Middle-aged Regina might have kept herself to herself, but she always had a smile for everyone she came across. Who could possibly have wanted to do her harm? Was she just unlucky, the victim of a deranged killer striking at random?

But as the team delve deeper into her checkered past, they uncover shocking truths Regina Steps kept well hidden under that bad perm of hers. As the list of suspects grows, so too does the notion the murders might have only begun.

The first in the NUMBER ONE bestselling Derry Murder Mysteries series, You'll Get Yours is a gripping, gritty mystery thriller with jaw-dropping twists and a touch of Gerald Hansen's signature dark humor.","84, 32, 138"
"Shouldn't a mail-order bride be guaranteed a groom?

Jeni MacGregor fled from Massachusetts to Montana to marry Scott Maxwell. Being a mail-order bride had to be better than staying behind, where Mr. Benson won't take no for an answer.

When Scott refuses to marry her, without explanation, she's left desperate in a town full of strangers—and she's running out of time. Her only solace is that Scott puts her under the protection of the fearless men of The Maxwell Group, with his cousin Caleb as her personal bodyguard.

When her past catches up with her, Jeni has a hard decision to make.

Will she marry or take her chances on the run?

Although the story is old fashioned, The Maxwell Brides Series contains violence, adult language and themes, and descriptions of physical intimacy. It is intended for mature readers.

Jeni Finds Safety is part of a series that is best when read in order. The books each stand alone, but there is a story arch that requires the reader to follow through to the end to get all the answers. If you stop after Book One, you won't have the whole story. The journey is as important as the destination and you won't see what's coming until you turn the next corner.","84, 29, 37, 32, 178, 17, 86, 166"
"Win Halliday lives an extraordinary life

When he moves, the rest of the world moves with him.

As the heir to the Halliday name and fortune, Win's entire life has been carefully orchestrated from the moment he came into the world. He's never been allowed to aspire for anything outside that plan, including love. After the tragedy that followed his younger brother chasing his foolish heart, the Halliday Matriarch insists on picking a bride that's up to her outrageously high standards. Unfortunately, for all the eager bachelorettes, the only woman Win would ever consider marrying isn't found anywhere on his mother's list.

He's got his eye on the exceptionally ordinary, Channing Harvey.

There's so much history and hatred between the two of them, that a happily ever after is impossible. Win doesn't need forever, he just needs to get his tyrannical mother off his back. 

Channing's not interested in his millions or his ridiculous contract marriage offer, but she's about to learn that Win Halliday is relentless. This is the first decision Win has made with only himself in mind, and nothing's going to stop him from getting what he wants.

They're getting married, and God help whoever gets in Win's way — including his very reluctant bride-to-be.

The only monsters found within this novel are of the human variety. But they're still scary!","84, 29, 112, 32, 178"
"In this epic series, worlds will be changed. Realities will be torn asunder and your faith in humanity will be restored...

Magic of the Realm:

Tor Baker is a student of magic, attending an elite school for people who are, by almost every measure, his better. Only nothing is as it seems and the magic of a humble baker's son might be the only thing that can save the Realm of Noram from an ancient threat that no one understands.

*The new installment of this full length, epic series of fantasy and magic is coming out on the first day of every month! Look right now for more of your favorite series, everywhere that fine books are sold. Because waiting is hard, and reading is a gift to us all.","84, 14, 86, 120, 32, 178"
"★ Grab books four, five, and six in The Finding Home Series all in the same place. ★

4. Finding Spring: A single mom meets Mr. Right at exactly the wrong time and in exactly the wrong place, because he's her boss, and she needs this job.

5. Finding Liberty: An Olympic-bound skier has an accident, and it changes her life forever. She thinks she's broken, but when Rob meets her, he sees someone spectacular. Can he convince her to fight for the life she wants? 

6. Finding Holly: Paisley has a secret, and it's finally going to get out. But can this bad-boy loving secretary find the strength she needs to heal and move on? 

★ Dive into three more compelling stories of loss and love and living well. The heroes and heroines of The Finding Home Series know that not all that is gone is lost, and not all that is broken is beyond repair. Find some inspiration amid despair and some hope amongst the rubble as you read about people you can utterly relate to who are doing the same. ★

***

What did Publisher's Weekly think? They said Finding Liberty ""has a serious emotional core, [and that] ""Baker's prose is warm, engaging, and fresh, and the voices of her protagonists are both distinctive and immediately captivating. The leads are immensely sympathetic, and their chemistry is undeniable.""","84, 32, 178, 29"
"A story ripped from the headlines. Inspired by true events.

Operation Iraqi Freedom's failure to reveal WMDs was no error but a massive cover-up. An Australian SAS report exposed on Wikileaks suggests Saddam's arms were moved to Syria. And a senior Coalition officer looks to have been complicit.

Did the U.S. allow Saddam's weapons to slip away? Could the sarin being used by Syria today in its civil war actually be Saddam's? And what's the anonymous whistleblower's enigmatic agenda?

OSI Special Agents Vin Cooper and Anna Masters dig through layers of deception to uncover the buried truth. And then a cache of sarin emerges for sale on the dark web — and the seller is Coalition officer.

Yet, this is merely the tip of the iceberg. The Kremlin has put out a contract on Cooper, blaming him for the death of President Valery Petrovich, while secretly playing a wider, more deceptive game. Meanwhile, the dark web auction delivers the rogue sarin into the hands of a radical home-grown militia hell-bent on chaos.

In the heart-pounding thriller NOTHING PERSONAL, Cooper and Masters confront Andre Niemiec, ex-chief of the Wager mercenary army, driven by vengeance. Racing against time, the two special agents navigate a perilous landscape to prevent a murderous plan of epic proportions.","84, 1, 33, 86, 32, 138, 182"
"In the desolate, frozen expanse of Antarctica, a top-secret government agency assembles a team of elite operatives with specialized skills for Operation Cold Shield. Their mission: to infiltrate a remote research facility and investigate reports of strange and dangerous experiments conducted by the rogue scientist Vladislav Vašíček. 

As the covert team deploys via parachute under the cloak of night, the harsh Antarctic conditions immediately become a formidable adversary. Howling winds whip across the barren tundra as the operatives trek through deep snowdrifts towards the clandestine facility near Anvers Island. Leading the charge is James Ramsey, a seasoned operative hardened by years in the field. His team consists of Richard Blair, a expert sniper; Jeff Delay, a master hacker; Eric Stevens, a brilliant intelligence analyst; and Debra Caballero, an explosive ordnance disposal technician.

Upon breaching the facility, they quickly discover Vašíček's twisted work - illegal genetic modifications on human test subjects to create a terrifying bio-engineered virus called Neuro Vex. But the situation escalates from dangerous to catastrophic when they realize the virus has already been activated, turning the inmates into mindless, violent killers driven by an insatiable rage.

Cut off from headquarters with their communication systems jammed, Operation Cold Shield finds themselves trapped in a deadly game of cat-and-mouse with the infected. Tensions mount as they battle not just the rampaging victims, but each other's suspicions of an infiltrator. In this unforgiving environment where a single mistake could be fatal, trust is a scarce commodity. 

As they desperately search for both a cure and a way to prevent the contagion's spread, the team unravels a shocking conspiracy - Vašíček's work is being backed by the Russian KGB to develop the Neuro Vex virus as a biological weapon to unleash on American soil. The Russian embassy in Washington D.C. has been coordinating the entire operation.

In a race against time, Operation Cold Shield must overcome their inner conflicts and the harsh Antarctic elements to take down Vašíček and his Russian handlers. With the fate of nations hanging in the balance, they launch one final, desperate assault on the facility to stop the virus from spreading. Ramsey and his team must succeed at all costs, even if it means sacrificing everything, to avert global catastrophe.

In the explosive climax, a harrowing confrontation with the deranged Vašíček and the KGB forces leaves the team battered and bloodied. But their tenacity ultimately prevails, as they finally secure the last remaining samples of the Neuro Vex virus. As they begin their long trek out across the frozen wasteland, the operatives of Operation Cold Shield can take grim satisfaction that their mission has prevented an unimaginable tragedy that could have enveloped the world.","84, 1, 33, 86, 186, 32, 182"
"Enter the enigmatic world of Vern Redwood, where the paranormal meets the pulse of New York City's bustling streets.

As an investigative assistant at MIA (Magical Investigation Agency), Vern's days are a blend of intrigue and enchantment.

When a routine case takes a sinister turn. Vern finds herself thrust into a labyrinth of mystery.

With werewolves, forbidden magic, and nosy reporters in the mix, Vern and the team must unravel the truth. Along the way, they'll uncover secrets, dodge curses, and maybe even share a laugh or two amidst the chaos.

Join Vern Redwood on a captivating journey through the mystical heart of New York City, where every twist uncovers a new layer of deception. Will the team crack the case before it consumes them, or will the city's paranormal underbelly claim yet another victim?","84, 14, 112, 35, 19, 140, 32, 138, 114"
"Dive into the heart of Windwood, a small village with lush green fields and mysterious forests, in this thrilling children's adventure story. The four boys—Simon, Jack, Freddy, and Leo—yearn for an adventure, their wish leads them to the edge of a vast, mysterious forest that borders their home. One afternoon, driven by boredom and a shared desire for discovery, they decide to explore the forest, stumbling upon an old, eerie house that beckons with secrets and dangers.

But this is no ordinary tale of boys and their explorations. The story takes a captivating turn with the unexpected involvement of two brave girls from the village, Roxanne and Tiffany, who join the adventure, adding depth and courage to the journey. Together, this fearless group delves into the heart of the forest's darkness, unveiling mysteries that are far more complex and frightening than they ever imagined.

As the children uncover the layers of the haunted house, their village faces a series of mysterious disappearances that have left the townsfolk whispering of malevolent spirits and unseen dangers lurking in the shadows. Unbeknownst to their parents, Simon, his gang, and the two daring girls find themselves at the center of a chilling plot that threatens the very fabric of their community.

Through twists and turns, the group's adventure evolves into a quest to solve a spooky mystery that spans days. Their journey is filled with challenges that test their bravery, friendship, and determination. Working together, they must face their fears and use their wits to outsmart the villain behind the sinister happenings in Windwood.

""The Secret of Windwood"" is an enthralling tale for young readers aged 8 to 14, weaving a narrative rich in adventure, mystery, and the power of camaraderie. This story promises not only to entertain but also to inspire courage and the importance of friendship in overcoming adversity. It's a perfect read for children who love a good mystery, with enough spooks to keep them on the edge of their seats, yet grounded by a heartwarming message of unity and resilience.

Join the Starlight Explorers on their unforgettable journey into the dark woods and beyond, as they embark on an adventure that will test their limits and strengthen their bonds. This book is a thrilling ride from start to finish, celebrating the spirit of adventure and the unbreakable friendships that form in the most unlikely of circumstances. ""The Secret of Windwood"" is more than a story; it's an adventure that awaits.","84, 1, 32, 138"
"This hard science technothriller is the opening salvo in the Battle For Mars series. The year is 2029, and four SpaceX astronauts are about to enter orbit around Mars in preparation for a landing on the red planet. But there's a problem. The ship carrying the astronauts has been leaking fuel for most of the trip, and now it doesn't have enough left for a landing attempt. Complicating matters further, the Chinese have sent a manned spacecraft to Mars, too. Will they try to beat the SpaceX team to be the first humans to set foot on Mars? Are they going to try to land on Phobos, the Martian moon, for a closer look at the mysterious monolith that seems to be there? The only hope for the SpaceX astronauts is an untested spacecraft/propulsion system developed by a rival company, a company created and led by a reclusive billionaire who seems to want to put SpaceX out of business. Who will land on Mars first? Is the Phobos monolith a natural or artificial object? And what is the Chinese agenda regarding Mars? This tension-filled short novel also includes a science fact article on colonizing Mars.","84, 1, 30, 86, 1, 174, 32, 185"
"If you're starting a thousand mile journey with a single step, you better make sure you're wearing comfy shoes. 

Abby Archer's life has rarely been better. As a newlywed, she and Steve have things just as she wants them. But when a big surprise leaves Abby confused, can she trust Steve to do things the way she needs them handled?

Amanda Brooks' business had a rocky start, but she and Mandy are more energized than ever. Eddy's back too, and they're trying to navigate a new way forward. Work and love are both shaping up nicely when disaster strikes. Can the new presence in town wreck all their plans, or will Amanda square her shoulders and persevere?

Donna has finally accepted her feelings for Will, and she's enjoying her job too. But working far from home has its own share of difficulties, and eventually her current job will end. When the retreat is built, will Donna find that tiny Manila is big enough to fulfill all her dreams?

Return to Birch Creek to see how your favorite friends are navigating career, family life, and love with just a little laughter.","84, 38, 192, 29, 112, 32, 178"
"Three stubborn women each made a promise. Who will yield, and who will break? 

Abigail made a vow to her husband before he passed, one she could not, would not break. But life hasn't been easy without him by her side, and her children grow more with each passing day. Sometimes it feels like she'll be alone forever.

Amanda is tired of being a mess. She wants to achieve, to impress, to excel. If that means changing who she is, even changing her entire life, then so be it.

Donna has learned the truth about the world the hard way. You either attack, or you're attacked yourself. She doesn't like being the villain, but she's done being a patsy. She's determined to carve out a place for herself, no matter what.

These women have all returned to Birch Creek with big plans, but the future loves to surprise us. Can their vows keep them on target? Or will they decide it's more important to follow their hearts, no matter how bad the fallout?","84, 38, 192, 29, 112, 32, 178"
"Kat, a smart, attractive Psych Ph-D student at UBC thinks she is being stalked. A Mayan Professor seems to know about her vision; about her role in preparing for the 2012 Prophesy. A trip South with her boyfriend, Daniel, brings some frightening revelations that shake her very foundation and make her realize no one is who they seem.
 
She turns to her mother Eleanor who takes her to a simple life on a beautiful remote Gulf island where the two come to terms with decisions that they made in the past and what they must do to secure a future.  Kat explores how much control she has over Fate, especially in the company of an irresistible sailor.  Can she save her own world?","84, 33, 86, 32, 184"
"Lady Georgina’s fascination with the life of the working classes leads her down a path of no return as she sinks deeper and deeper into her pretend persona of a lady's maid. What starts out as an enticing fantasy for the bored and spoiled Victorian-era heiress and an aspiring actress she hires for the game, slowly evolves into something far bigger as, step by step, she surrenders her status, her wealth and even her family name to live the life she was destined to live – that of a simple servant girl. This dark tale of social downgrade is set in 1880s London, grimy Manchester, and New York when cultural and social differences between a lady and her maids were as rigid as the former’s corsets and as regulated as the latter’s black-and-white uniforms.","84, 17, 32, 183"
"MID-CENTURY SPECULATIVE FICTION: The Second World War. Nuclear Power. Space Exploration. Three powerful forces that forever changed the course of history. In these nine new stories Messier explores our intimate and often fickle relationship with science and technology in the 1940s, 1950s and 1960s, and how it came to define our past, present and future. With 27 archival photographs.

Gilles Messier was born in Winnipeg in 1989 and studies aerospace engineering at Carleton University, Ottawa. As well as writing, he designs and develops mechanical devices and innovations, and enjoys painting inter-war-period travel posters, and studying history and philosophy.","84, 30, 114, 32, 185"
Fifteen short stories sure to scare you and make you question your sanity.,"84, 4, 19, 14, 121, 140, 32, 183"
"In ""Operation Skyfall: Unveiling the Alien Agenda,"" the world is thrust into chaos when a routine military exercise uncovers a crashed extraterrestrial craft in a remote desert. The discovery sets off a chain of events that leads to the revelation of a top-secret government operation, Operation Skyfall, dedicated to studying alien technology and life.

Agent Sarah Mitchell, a seasoned investigator, is assigned to analyze the mysterious craft and its advanced technology. As Sarah and her team delve deeper, they encounter anomalies that suggest the alien craft is far more advanced than anything humanity has ever seen. Their investigation quickly reveals a hidden agenda within the government, raising suspicions about Operation Skyfall's true objectives.

The plot thickens as Sarah uncovers classified documents that hint at a larger conspiracy involving the extraterrestrial technology. With the help of her mentor, Dr. Richard Bennett, Sarah learns that the alien technology is being used to prepare for an impending invasion. As the team deciphers a holographic message from the alien craft, they realize that Earth is in imminent danger from an external threat.

In their quest to expose the truth, Sarah and journalist Jake Turner face increasing resistance from government forces determined to keep the invasion plans hidden. Their investigation leads them to a secret underground facility where unethical experiments on alien technology and beings are conducted. Forced into hiding after a failed assassination attempt, Sarah and Jake gather evidence of the government's covert operations and unethical practices.

As they confront Dr. Bennett, they discover that he has been coerced into silence and that a shadowy organization within the government is orchestrating the invasion. Betrayed by a trusted ally, Sarah and Jake must navigate a web of deceit and danger to reveal the full extent of the conspiracy.

The truth about Operation Skyfall shocks the global community, leading to a widespread reaction of disbelief, fear, and denial. As governments and organizations scramble to respond, Sarah and Jake become targets of relentless pursuit. They must use all their resources to stay ahead of their pursuers while continuing their efforts to expose the conspiracy and prepare for the extraterrestrial threat.

The invasion begins with strange phenomena and attacks occurring worldwide. As the global response to the threat intensifies, Sarah and Jake work with international allies to develop a plan to combat the impending invasion. The final battle is a dramatic confrontation with the alien invaders and the mastermind behind Operation Skyfall, revealing the ultimate goal of the alien technology: manipulation and control of humanity.

In the aftermath of the conflict, the world begins the arduous task of recovery and rebuilding. Sarah and Jake play crucial roles in overseeing the establishment of new protocols and international cooperation for managing extraterrestrial threats. Their efforts lead to the creation of the Global Extraterrestrial Monitoring Network and new treaties governing advanced technology.

As they reflect on their journey, Sarah and Jake witness the resilience of humanity and the strength that emerged from the darkest moments of the invasion. The global community's commitment to unity and preparedness shapes a hopeful future. The story concludes with a look at the ongoing efforts to safeguard humanity and the promise of a new era of exploration and cooperation.

""Operation Skyfall: Unveiling the Alien Agenda"" is a gripping tale of courage, conspiracy, and survival, showcasing the power of resilience and the unyielding spirit of those who stand against the darkness.","84, 30, 1, 175, 32, 185"
"Ex VIP protection agent Ben Hood needs very strong motivation to come out of retirement and put his life in danger to pursue a woman who doesn't even like him. He's not all that interested in pursuing anyone or getting involved with the theft of a multi-million-dollar diamond. He is however, strongly motivated by revenge. Revenge will push him into the face of death.","84, 33, 86, 26, 161"
"MI5 Officer David White has always tried to be a good father, so when his daughters want to go to a music festival in Israel, he agrees to take them. But his world falls apart when his daughters are killed in the Hamas massacre that left 1,200 innocent civilians dead.

White is taken hostage down in the tunnels under Gaza, and Dan 'Spider' Shepherd and a crack SAS team are sent in to rescue him.

Safely back in London, White is a changed man. He wants revenge for what happened to his family and sets out to kill the men who planned and financed the Hamas attacks.

And as White embarks on a vengeance-driven killing spree, Shepherd is the only man who can stop him.

Praise for Stephen Leather:

He has the uncanny knack of producing plots that are all too real — Daily Mail
The sheer impetus of his storytelling is damned hard to resist. — Daily Express
A master of the thriller genre. —Irish Times","84, 33, 186, 190"
"Books One Through Three in the electrifying Lawson Holland Thriller Series!

The Blood of Tyrants – A freak accident puts Lawson Holland face to face with the man he holds responsible for an unimaginable personal loss - the President of the United States.

The Blood of Patriots – Holland finds himself chasing a ghost, daring to hope that a lost family member can somehow be found.

The Tree of Liberty – Holland has returned from a daring rescue in Afghanistan, hoping to finally retire to a normal life. But when war breaks out close to home, Holland and company are caught up in it. The resulting fight will decide the future of their country, but it may cost them everything.","84, 1, 33, 86, 190"
"A #1 bestselling novel from million-copy bestselling author Kiersten Modglin...
Fans of Gone Girl, The Swap, and My Lovely Wife are sure to be gripped by this fast-paced, scandalous, and completely twisted story.

Domestic thriller readers are raving:
""...my new obsession!""
""...that ending shook me to my core.""
""I was sure I knew where it was going. I couldn't have been more wrong.""
""Hands down, my favorite read this year!""

The arrangement was just meant to fix their marriage.
No one was supposed to get hurt.
But when the rules of this open marriage are broken, the consequences are sinister.

Ainsley Greenburg is a fixer.
It's what she prides herself on.

So, when she realizes her marriage is at its breaking point, she makes a decision to repair it, no matter the cost. Approaching her husband to propose the arrangement is supposed to be the hard part, but Peter agrees to the salacious plan almost immediately.

The rules are simple:

They will each date someone new once a week.

They will never discuss what happens on the dates.

Soon, though, the rules are broken, turning terrible mistakes into unspeakable consequences.
When the only person they can count on to keep their darkest secret is each other, new questions and deceits surface. Can they truly trust the person they share a life with, or will the vicious lies that have mounted over the years destroy everything they've built?

Once, Peter and Ainsley vowed to stand together forever, but as they push boundaries of deception, suspicion, and temptation, each begins to wonder if 'til death do us part may come sooner than they'd intended.","84, 33, 86, 186, 189"
"Alpha Blake Steel is running out of time.
In his late thirties and without a mate, moon madness is starting to take its toll.
He can feel her. He knows his fated mate is close by.
The idea of giving up on her is unbearable, but unless he finds her soon, he'll have no choice.
Waiting any longer will cost him his life.

When he stumbles across his mate, a human with no idea about this whole new world of werewolves and shifters, will he be able to convince her to give them a shot? Or with the clock ticking, and an old enemy closing in, will he be forced to leave her behind to save himself and his pack?

This is a steamy, dual POV, MF paranormal romance.
HEA and no cheating guaranteed.","84, 1, 14, 86, 121, 29, 33, 191"
"Hayley's on the run from a stalker who's determined to make her pay.

When she saves the life of the local wolf pack's Alpha, exposing her new location in the process, Cooper decides he has to make her his.

His to possess, his to love, his to protect.

He's waited a long time to find his mate. He's not going to let her go. 

She risked her cover and her life to save his, he's willing to do anything to keep her safe.

Will Hayley be able to accept this whole new paranormal world of wolf shifters and fated mates that she never knew existed, or will her past catch up to her and ruin it all? 

This is Book 1 of the paranormal werewolf romance series, Wolf Shifters of Grey Ridge.

Book 2, The Alpha's Inferno, is available to order now!","84, 14, 86, 121, 33, 191, 29, 121"
